8月19日：小鸡宝宝考考你，汉字“廿”表示？ 答案： 二十 
8月20日：小鸡宝宝考考你，传统乐器二胡有几根弦？ 答案： 二 
11月24日：小鸡宝宝考考你，一般饭后几小时运动较为适宜？  答案： 一小时左右 ​
11月25日：小鸡宝宝考考你，灰霾天，楼层越高空气越好对吗？  答案： 不对 ​
11月26日：小鸡宝宝考考你，运动出汗时，喝什么可以补充汗液中流失的电解质？  答案： 淡盐水 ​
11月27日：小鸡宝宝考考你，人们常说的美人鱼实际是指哪种海洋动物？  答案： 儒艮 ​
11月28日：小鸡宝宝考考你，运动完之后会感到浑身酸痛是因为什么？  答案： 乳酸堆积 ​
11月29日：小鸡宝宝考考你，世界上最大的岛屿是哪个岛？  答案： 格陵兰岛 ​
11月30日：小鸡宝宝考考你，吃莲藕木耳可以除肺里的颗粒物霾吗？  答案： 不可以 ​
************************************************************************************************************************
12月10日：小鸡宝宝考考你，豆浆可不可以替代牛奶？  答案： 不可以 ​
12月11日：小鸡宝宝考考你，不仅会揉脸脸，还会胸口碎大石的萌物是？  答案： 海獭 ​
12月12日：小鸡宝宝考考你，被鱼刺卡住喉咙后，比较妥善的做法是？  答案： 立即就医 ​
12月13日：小鸡宝宝考考你，以下选项中被称为征服沙漠的先锋的是？  答案： 梭梭树 ​
12月14日：小鸡宝宝考考你，快递员在什么时候可以要求收件人到指定地点自提包裹？  答案： 派送失败两次以上 ​
12月15日：小鸡宝宝考考你，保健品推销员常认老人当干妈干爹一般是因为？  答案： 亲情陷阱套路 ​
12月1日：小鸡宝宝考考你，步行健身的正确方式应该是什么？  答案： 循序渐进 ​
12月2日：小鸡宝宝考考你，小明没有喝酒却被查出酒驾，他很可能是刚喝完？  答案： 藿香正气水 ​
12月3日：小鸡宝宝考考你，打篮球时突然脚底抽筋，采取什么措施可以缓解？  答案： 将脚板往回压 ​
12月4日：小鸡宝宝考考你，下面哪种鱼不属于鱼类？  答案： 鱿鱼 ​
12月5日：小鸡宝宝考考你，世界上最小的海是？  答案： 马尔马拉海 ​
12月6日：小鸡宝宝考考你，冷冻食品在家中保存多久都没问题吗？  答案： 当然不是 ​
12月7日：小鸡宝宝考考你，被人们称为微笑天使的国家一级保护动物是？  答案： 长江江豚 ​
12月8日：小鸡宝宝考考你，快递员首次派件时小明不在家，二次派件时能收额外费用吗？  答案： 不能，不合规 ​
12月9日：小鸡宝宝考考你，如果误入了传销组织，以下哪种自救方式是妥当的？  答案： 利用上街时机求救 ​
************************************************************************************************************************
12月16日：小鸡宝宝考考你，在入住景区酒店后，为了安全应第一时间应该做什么？  答案： 熟悉消防路线 ​
12月17日：小鸡宝宝考考你，以下哪种树在沙漠中被称为会流泪的树？  答案： 胡杨 ​
12月18日：小鸡宝宝考考你，有明星代言的食品一定是安全的吗?  答案： 不一定 ​
12月19日：小鸡宝宝考考你，为什么有的植物晚上也要睡觉？  答案： 减少热损水损 ​
12月20日：小鸡宝宝考考你，刷脸支付现在非常流行，但在支付前最好注意什么？  答案： 商品金额是否正确 ​
12月21日：小鸡宝宝考考你，市场上售卖的食品，缺少以下哪项可被认定为三无产品？  答案： 生产商厂址 ​
12月22日：小鸡宝宝考考你，世界上最高的哺乳动物是？  答案： 长颈鹿 ​
12月23日：小鸡宝宝考考你，超市卖的进口食品没有任何中文标识，可能会有什么风险？  答案： 未经过安全检验 ​
12月24日：小鸡宝宝考考你，一般被电信诈骗骗走的钱很难追回，主要是因为？  答案： 资金被迅速转移 ​
12月25日：小鸡宝宝考考你，为避免收到快递后因货物缺少或破损而产生纠纷，我们应该？  答案： 当面验视和签收 ​
12月26日：小鸡宝宝考考你，两岸猿声啼不住，这里的猿最可能是什么？  答案： 长臂猿 ​
12月27日：小鸡宝宝考考你，乱扔快递单易使个人信息泄露，可能产生的不良后果有？  答案： 接到诈骗推销电话 ​
12月28日：小鸡宝宝考考你，哪种鸟类的飞行高度可以逾越珠穆朗玛峰？  答案： 斑头雁 ​
12月29日：小鸡宝宝考考你，小明遇到航班满员被拒载，他应该怎么做？  答案： 协商或循法律维权 ​
12月30日：小鸡宝宝考考你，雪豹在我国主要分布于什么地区？  答案： 青藏高原 ​
************************************************************************************************************************
12月31日：小鸡宝宝考考你，小明在国外饭店就餐，但菜单上没有价格，如何避免被宰？  答案： 询问店主确认价格 ​
1月10日：
1月11日：小鸡宝宝考考你，小明想带着宠物狗一起坐高铁回家过年，他最好选择  答案： 按规定办理托运 ​
1月12日：小鸡宝宝考考你，五福活动快要开始了，如果QQ群里有陌生人卖福卡，要不要花钱买  答案： 忽悠我，没门 ​
1月13日：小鸡宝宝考考你，小绿在森林任务中想获得一个时光加速器，他应该  答案： 连续收能量7天 ​
1月14日：小鸡宝宝考考你，小绿想在蚂蚁森林中获得一张福卡，他应该  答案： 在森林给好友浇水 ​
1月15日：小鸡宝宝考考你，在蚂蚁森林里给好友浇水，一次最多可以浇多少g  答案： 18g ​
1月1日：小鸡宝宝考考你，大熊猫的走路方式是什么样子的?  答案： 内八字 ​
1月2日：小鸡宝宝考考你，小明的银行账户突然到账一笔巨款，他应该？  答案： 致电银行确认来源 ​
1月3日：小鸡宝宝考考你，传销活动的组织者会经常给会员进行精神洗脑，主要是为了什么？  答案： 控制会员赚更多钱 ​
1月4日：小鸡宝宝考考你，小明收到高价收购个人银行卡的短信，他应该？  答案： 报警举报该号码 ​
1月5日：
1月6日：
1月7日：
1月8日：
1月9日：
①小鸡宝宝考考你，下列哪种猫猫由于生理构造容易有泪痕？答案： 加菲猫 ​
①小鸡宝宝考考你，公司以发彩票代替年终奖，这种做法  答案： 不可行，须发现金 ​
①小鸡宝宝考考你，支付宝运动里想参与走路线，最低需要多少步数  答案： 100步即可 ​
①小鸡宝宝考考你，蚂蚁庄园里好友为你种下的麦子，有什么用  答案： 收了可以变成饲料 ​
①小鸡宝宝考考你，蚂蚁庄园里，小鸡旁边长出了金色的麦苗，这是  答案： 好友送我的麦子 ​
①小鸡宝宝考考你，蚂蚁森林里出现了金色的能量球，这是？  答案： 好友为我浇水啦 ​
②小鸡宝宝考考你，地球上现存动物中最大的哺乳动物是？  答案： 蓝鲸 ​
②小鸡宝宝考考你，小明没有抢到过年回家的火车票，他最好选择？ 答案： 购买机票或汽车票 ​
②小鸡宝宝考考你，小明购买的高铁票显示是05车06E号，这表示?  答案： 他买到了假票 ​
②小鸡宝宝考考你，支付宝会员里，我的家小程序可以用来做什么  答案： 攒家庭积分换好礼 ​
②小鸡宝宝考考你，狗狗爪子的肉垫，除了行走时有防滑的作用外，还能用来 答案： 排汗散热 ​
②小鸡宝宝考考你，相传，古人在除夕这天放鞭炮是为了 答案： 吓跑野兽 ​
③小鸡宝宝考考你，火烈鸟的羽毛为什么是红色的? 答案： 与吃的食物有关 ​
************************************************************************************************************************
1月16日：小鸡宝宝考考你，2019年9月蚂蚁森林在联合国获得了什么奖  答案： 地球卫士奖 ​
1月17日：小鸡宝宝考考你，小包想要在支付宝运动里获得福卡，他应该  答案： 参加走路线任务 ​
1月18日：小鸡宝宝考考你，小柳想要增加走路线里的步数，他应该  答案： 携带手机走一走 ​
1月19日：小鸡宝宝考考你，支付宝运动小程序里，走路线获得的运动币可以拿来干什么  答案： 给山区捐足球场 ​
1月20日：小鸡宝宝考考你，五福期间在蚂蚁庄园里进行什么操作可以获得福卡  答案： 串门给好友拜年 ​
1月21日：小鸡宝宝考考你，庄园自上线至2019年11月底，猜猜已捐出多少颗爱心鸡蛋了  答案： 150亿颗 ​
1月22日：小鸡宝宝考考你为预防新型冠状病毒肺炎我们应该怎么做  答案： 保持室内空气流通 ​
1月23日：五福期间在蚂蚁庄园收集大鸡大利明信片，有机会兑换  答案： 花棉袄 ​
1月24日：使用篱笆卡后多长时间内小鸡不会主动外出，好友小鸡也不能来偷吃  答案： 使用后24小时内 ​
1月25日：给小鸡用下面的哪张功能卡可以让它吃更快？  答案： 加速卡 ​
1月26日：截至2019年8月底蚂蚁森林一共种成了多少棵树？  答案： 1.22亿棵 ​
1月27日：为了有效预防呼吸道病毒我们应优先选择哪种口罩？  答案： N95口罩 ​
1月28日：春节放假在家为预防疾病我们最好  答案： 远离海鲜市场 ​
1月29日：在公共场合戴口罩可预防疾病，选项中正确的戴口罩姿势是  答案： 将口罩与面部贴合 ​
1月30日：为了预防病毒我们可以提前吃抗生素吗  答案： 不可以 ​
************************************************************************************************************************
1月31日：在对家庭室内进行消毒时我们需要注意  答案： 加强居室通风 ​
2月10日：得知自己所在城市确诊病例又增多对此良好的心态为?  答案： 科学对待理性判断 ​
2月11日：小明在返程的飞机上咳嗽发热寻求医疗帮助时他应当  答案： 主动告知接触史 ​
2月12日：搭乘电梯时应该如何做以预防新型冠状病毒？  答案： 进入电梯佩戴口罩 ​
2月13日：为了预防疾病如果去公司食堂就餐最好  答案： 用消毒过的餐具 ​
2月14日：为排解恐惧和焦虑的情绪在家观察隔离的病人可以  答案： 网络沟通倾诉心声 ​
2月15日：新型冠状病毒可通过接触来传播所以我们平时最好？  答案： 勤洗手保持卫生 ​
2月1日：为了远离病毒我们应该怎么使用口罩  答案： 定期更换 ​
2月2日：如果家中有人得了感冒我们最好怎么做  答案： 照顾时佩戴口罩 ​
2月3日：有专家说新型冠状病毒怕酒精所以我们应该多喝白酒  答案： 说法错误 ​
2月4日：预防新型冠状病毒肺炎以下说法正确的是  答案： 不生吃肉类 ​
2月5日：网上各种有关新型肺炎的消息让人很焦虑，这时我们应该  答案： 从权威媒体获信息 ​
2月6日：在公共场合忍不住咳嗽时以下做法妥当的是  答案： 用纸巾捂住口鼻 ​
2月7日：小方居住的城市还没有确诊疫情所以不用戴口罩出门  答案： 说法错误 ​
2月8日：一般来说使用过的口罩应该如何处理  答案： 密封后丢入垃圾桶 ​
2月9日：春运返程高峰期返程中做法正确的是  答案： 随身携带消毒湿巾 ​
************************************************************************************************************************
2月16日：疫情期间在家中点外卖当外卖送到时我们最好怎么做?  答案： 将外包装袋丢弃 ​
2月17日：为了减少接触病毒进出办公室大门时最好选择  答案： 用纸巾包住门把手 ​
2月18日：疫情期间下列选项中正确使用84消毒液的做法是？  答案： 稀释后使用 ​
2月19日：今年过年回家的大学生小明未经学校批准可以提前返校吗？  答案： 不可以 ​
2月20日：小王因接受医学观察无法正常上班，他的工资应该怎么发？  答案： 企业应按正常发放 ​
2月21日：疫情期间我们在网购时下列更安全的做法是  答案： 要求无接触送货 ​
2月22日：使用酒精擦拭家具进行消毒时我们需要注意  答案： 保持室内通风 ​
2月23日：面对疫情如果觉得自己的负面情绪影响了生活该怎么做?  答案： 求助专业心理热线 ​
2月24日：关于理财产品高风险一定会有高回报这种说法是？  答案： 错的 ​
2月25日：疫情期间乘坐高铁，发现旁边有人一直咳嗽，你应该  答案： 向列车员反映 ​
2月26日：小鸡宝宝考考你，小明公司已正式复工，按发改委要求，公司需做到什么  答案： 给小明发口罩 ​
2月27日：小鸡宝宝考考你，受疫情影响没领到工资，尚未还清的国家助学贷款该怎么办  答案： 可以适当延期偿还 ​
2月28日：小鸡宝宝考考你，疫情期间乘坐高特，发现旁边有人一直咳嗽，你应该  答案： 向列车员反映 ​
2月29日：小鸡宝宝考考你，疫情期间，我们的哪些个人防护用品是可以带上飞机的  答案： 医用口罩、护目镜 ​
3月10日：小鸡宝宝考考你，龙涎香来自于以下哪种海洋生物  答案： 抹香鲸 ​
3月11日：小鸡宝宝考考你，下列选项中被称为打孔巨匠的海洋生物是  答案： 韦德尔海豹 ​
3月12日：小鸡宝宝考考你，下列选项中因为价格高昂，被称为软黄金的鱼类是  答案： 鳗鱼苗 ​
3月13日：小鸡宝宝考考你，以下哪种动物被称为沙漠之舟  答案： 骆驼 ​
3月14日：小鸡宝宝考考你，下列选项中被称为死亡之海的沙漠是  答案： 塔克拉玛干沙漠 ​
3月15日：小鸡宝宝考考你，小明买了一件200元的外套，后来证实是假货，他可以索赔  答案： 600元 ​
3月1日：小鸡宝宝考考你，红娘这个称呼最早出现在哪部作品中  答案： 《西厢记》 ​
3月2日：①打开的红葡萄酒塞上软木塞后放进冰箱能够保存多久？  答案： 2-3周 ​
3月2日：②小鸡宝宝考考你，历史上东征西讨，镇守娘子关的霸气女将军是谁  答案： 平阳昭公主 ​
3月3日：①婚后买的房子没写老婆的名字卖房时？  答案： 需要夫妻双方签字 ​
3月3日：②小鸡宝宝考考你，收到邮件称你的游戏账号被盗，正确的做法是  答案： 先与客服核实真假 ​
3月4日：小鸡宝宝考考你，海苔主要是由下列哪种海藻制作而成的  答案： 紫菜 ​
3月5日：小鸡宝宝考考你，收到短信称外卖订单已关闭，点链接获取退款，你应该  答案： 与外卖商家核实 ​
3月6日：小鸡宝宝考考你，万里长江最终汇入的是什么海  答案： 东海 ​
3月7日：小鸡宝宝考考你，在二手商品交易平台上购物时，我们应该  答案： 选择正规交易平台 ​
3月8日：小鸡宝宝考考你，世界上最大的海是什么海  答案： 珊瑚海 ​
3月9日：小鸡宝宝考考你，下列哪种动物跟小壁虎的尾巴一样有再生功能  答案： 海星 ​
************************************************************************************************************************
************************************************************************************************************************
3月16日：小鸡宝宝考考你，小明今年10岁，他的个人信息属于个人敏感信息范围吗  答案： 属于 ​
3月17日：小鸡宝宝考考你，成语腰缠万贯中的一贯通常是指多少  答案： 一千文 ​
3月17日：鱼与熊掌不可兼得是形容理财的什么特点？  答案： 收益和风险正相关 ​
3月18日：小鸡宝宝考考你，世界上最早出现的纸币是什么  答案： 交子 ​
3月19日：小鸡宝宝考考你初入职场的小明想开始对工资理财下列哪种方式更适合他  答案： 基金定投 ​
3月19日：小鸡宝宝考考你，鱼与熊掌不可兼得是形容理财的什么特点  答案： 收益和风险正相关 ​
3月20日：初入职场的小明想开始对工资理财，下列哪种方式更适合他  答案： 基金定投 ​
3月20日：小鸡宝宝考考你打雷时小明正在湖里划船以下哪个做法是正确的  答案： 上岸到室内躲避 ​
3月21日：小鸡宝宝考考你小明刚学会游泳可以去泳池的深水区游泳吗?  答案： 最好不要 ​
3月21日：小鸡宝宝考考你，睡眠不好会影响精神，下列哪种做法能让我们睡得更踏实  答案： 睡前不喝酒和茶 ​
3月22日：小鸡宝宝考考你小明外出时遇到一只看起来很凶的流浪狗他最好?  答案： 保持距离慢慢走开 ​
3月22日：小鸡宝宝考考你，以下哪类食物富含优质蛋白质，可以帮助小朋友长高长壮  答案： 大豆类 ​
3月23日：小明发现自己在直播间买的商品是三无产品他最好  答案： 向平台反映问题 ​
3月23日：小鸡宝宝考考你，古时七夕节的习俗之一乞巧，最初指的是什么  答案： 乞求巧手艺 ​
3月24日：小鸡宝宝考考你，绿色食品指的是颜色为绿色的食品吗  答案： 当然不是 ​
3月25日：小鸡宝宝考考你，成语三更半夜中的三更指的是大概几点  答案： 夜里11点到1点 ​
3月25日：小鸡宝宝考考你，生活中我们常说的肥牛不包括以下哪一项  答案： 牛尾 ​
3月26日：小鸡宝宝考考你，我们常给冰箱除霜，这是因为  答案： 挂霜越厚越费电 ​
3月26日：小鸡宝宝考考你，生活中我们常说的肥牛不包括以下哪一项  答案： 牛尾 ​
3月27日：小鸡宝宝考考你世界上体型最大的企鹅是什么  答案： 帝企鹅 ​
3月27日：小鸡宝宝考考你，下列哪一种动物行为预示可能要下雨  答案： 燕子低飞 ​
3月28日：小鸡宝宝考考你，世界上体型最大的海龟是什么  答案： 棱皮龟 ​
3月29日：小鸡宝宝考考你，海洋生物资源最丰富的是以下哪个大洋  答案： 太平洋 ​
3月30日：小鸡宝宝考考你，鲍鱼是真正的鱼吗  答案： 不是 ​
************************************************************************************************************************
3月31日：小鸡宝宝考考你下列哪种动物是海洋中的瞌睡大王  答案： 海象 ​
3月31日：小鸡宝宝考考你，被蜜蜂蜇伤之后，涂什么能减轻疼痛感  答案： 肥皂水 ​
4月10日：小鸡宝宝考考你，收到短信称是学校老师让你点击链接给孩子交学费你应？  答案： 谨慎确认短信真伪 ​
4月10日：小鸡宝宝考考你，通常情况下，晒被子一般晒多久更合适  答案： 2-3小时 ​
4月11日：小鸡宝宝考考你，小明还在试用期，他的工资不得低于劳动合同约定工资的  答案： 80% ​（0.8）
4月12日：小鸡宝宝考考你，小明在工作日加班到晚上11点，那他加班的时薪应不低于  答案： 平时时薪1.5倍 ​
4月13日：小鸡宝宝考考你，小明在下列哪种情况下，可以提取公积金  答案： 大修房屋 ​
4月14日：小鸡宝宝考考你，漂浮在天空中的一朵云，可能有多重  答案： 500吨 ​
4月15日：小鸡宝宝考考你，流鼻血时，最好如何做以达到止血的目的  答案： 用手捏住鼻翼 ​
4月1日：小鸡宝宝考考你，下列选项中，素有海上清洁工绰号的海鸟是  答案： 海鸥 ​
4月2日：小鸡宝宝考考你小明想投诉网红直播间宣传虚假产品应该用什么作为证据？  答案： 网红推荐产品视频 ​
4月2日：小鸡宝宝考考你，下列哪种动物是海洋中的瞌睡大王  答案： 海象 ​
4月3日：小鸡宝宝考考你，象群中，担任象群首领的一般是  答案： 雌象 ​
4月4日：小鸡宝宝考考你月牙泉位于我国哪个省份？  答案： 甘肃 ​
4月4日：小鸡宝宝考考你，过去，为表达对逝者的敬意和哀思，人们会在清明节时  答案： 将柳条编环戴头上 ​
4月5日：小鸡宝宝考考你，小明在高速上开车时，因疏忽而错过出口，他应该？  答案： 继续行驶找下一个 ​
4月5日：小鸡宝宝考考你，月牙泉位于我国哪个省份  答案： 甘肃 ​
4月6日：小鸡宝宝考考你，驾驶时如有儿童同行需使用安全座椅，安装在哪里最安全  答案： 司机正后方 ​
4月7日：小鸡宝宝考考你，乘坐出租车时坐前排需要系安全带，坐后排不用，该说法  答案： 错误，坐哪都需系 ​
4月8日：小鸡宝宝考考你，收到偶像请求借钱的短信时，正确的做法是  答案： 是骗子，不予理会 ​
4月9日：小鸡宝宝考考你，一般情况下，运动后可不可以马上洗澡  答案： 最好不要 ​
4月9日：小鸡宝宝考考你，在社交软件上刚认识的网友询问小明的家庭住址他应该？  答案： 打死也不告诉他 ​
************************************************************************************************************************
************************************************************************************************************************

4月16日：小鸡宝宝考考你，奥运冠军获得的金牌，它的主要材料是什么  答案： 银 ​
4月17日：小鸡宝宝考考你，吃东西被辣到，下列选项中，喝什么更能解辣  答案： 喝点牛奶 ​
